ID,中文名,英文名,預計圖片檔名,異圖檔名建議(放R2)
150,小濱鷸,Little Stint,0150.avif,0150_UR.avif
151,Buff-breasted sandpiper,Buff-Breasted Sandpiper,0151.avif,0151_UR.avif
152,斑胸濱鷸,Pectoral Sandpiper,0152.avif,0152_UR.avif
153,半蹼鷸,Asian Dowitcher,0153.avif,0153_UR.avif
154,長嘴半蹼鷸,Long-Billed Dowitcher,0154.avif,0154_UR.avif
155,丘鷸,Eurasian Woodcock,0155.avif,0155_UR.avif
156,橙腹葉鵯,Gallinago Hardwickii,0156.avif,0156_UR.avif
157,扇尾沙錐,Common Snipe,0157.avif,0157_UR.avif
158,針尾沙錐,Pin-Tailed Snipe,0158.avif,0158_UR.avif
159,大沙錐,Gallinago Megala,0159.avif,0159_UR.avif
160,翹嘴鷸,Terek Sandpiper,0160.avif,0160_UR.avif
161,紅頸瓣蹼鷸,Red-Necked Phalarope,0161.avif,0161_UR.avif
162,Red phalarope,Red Phalarope,0162.avif,0162_UR.avif
163,磯鷸,Common Sandpiper,0163.avif,0163_UR.avif
164,白腰草鷸,Green Sandpiper,0164.avif,0164_UR.avif
165,灰尾鷸,Gray-Tailed Tattler,0165.avif,0165_UR.avif
166,鶴鷸,Spotted Redshank,0166.avif,0166_UR.avif
167,青腳鷸,Common Greenshank,0167.avif,0167_UR.avif
168,小青腳鷸,Tringa Guttifer,0168.avif,0168_UR.avif
169,小黃腳鷸,Lesser Yellowlegs,0169.avif,0169_UR.avif
170,澤鷸,Marsh Sandpiper,0170.avif,0170_UR.avif
171,林鷸,Wood Sandpiper,0171.avif,0171_UR.avif
172,紅腳鷸,Common Redshank,0172.avif,0172_UR.avif
173,Small buttonquail,Small Buttonquail,0173.avif,0173_UR.avif
174,黃腳三趾鶉,Yellow-Legged Buttonquail,0174.avif,0174_UR.avif
175,棕三趾鶉,Barred Buttonquail,0175.avif,0175_UR.avif
176,普通燕鴴,Oriental Pratincole,0176.avif,0176_UR.avif
177,Small pratincole,Small Pratincole,0177.avif,0177_UR.avif
178,中賊鷗,Pomarine Jaeger,0178.avif,0178_UR.avif
179,短尾賊鷗,Parasitic Jaeger,0179.avif,0179_UR.avif
180,長尾賊鷗,Long-Tailed Jaeger,0180.avif,0180_UR.avif
181,扁嘴海雀,Ancient Murrelet,0181.avif,0181_UR.avif
182,冠海雀,Japanese Murrelet,0182.avif,0182_UR.avif
183,三趾鷗,Black-Legged Kittiwake,0183.avif,0183_UR.avif
184,黑嘴鷗,Saundersilarus Saundersi,0184.avif,0184_UR.avif
185,細嘴鷗,Slender-Billed Gull,0185.avif,0185_UR.avif
186,紅嘴鷗,Black-Headed Gull,0186.avif,0186_UR.avif
187,棕頭鷗,Brown-Headed Gull,0187.avif,0187_UR.avif
188,小鷗,Little Gull,0188.avif,0188_UR.avif
189,Franklin's gull,Leucophaeus Pipixcan,0189.avif,0189_UR.avif
190,遺鷗,Relict Gull,0190.avif,0190_UR.avif
191,漁鷗,Ichthyaetus Ichthyaetus,0191.avif,0191_UR.avif
192,黑尾鷗,Black-Tailed Gull,0192.avif,0192_UR.avif
193,海鷗,Common Gull,0193.avif,0193_UR.avif
194,Short-billed gull,Short-Billed Gull,0194.avif,0194_UR.avif
195,Ring-billed gull,Ring-Billed Gull,0195.avif,0195_UR.avif
196,Herring gull,Herring Gull,0196.avif,0196_UR.avif
197,黃腿銀鷗,Caspian Gull,0197.avif,0197_UR.avif
198,Iceland gull,Iceland Gull,0198.avif,0198_UR.avif
199,灰燕鵙,Lesser Black-Backed Gull,0199.avif,0199_UR.avif
200,灰背鷗,Slaty-Backed Gull,0200.avif,0200_UR.avif
201,灰翅鷗,Glaucous-Winged Gull,0201.avif,0201_UR.avif
202,北極鷗,Glaucous Gull,0202.avif,0202_UR.avif
203,Brown noddy,Brown Noddy,0203.avif,0203_UR.avif
204,褐柳鶯,Sooty Tern,0204.avif,0204_UR.avif
205,褐翅燕鷗,Bridled Tern,0205.avif,0205_UR.avif
206,Aleutian tern,Aleutian Tern,0206.avif,0206_UR.avif
207,鷗嘴噪鷗,Gull-Billed Tern,0207.avif,0207_UR.avif
208,紅嘴巨鷗,Caspian Tern,0208.avif,0208_UR.avif
209,白翅浮鷗,White-Winged Tern,0209.avif,0209_UR.avif
210,Whiskered tern,Whiskered Tern,0210.avif,0210_UR.avif
211,粉紅燕鷗,Roseate Tern,0211.avif,0211_UR.avif
212,黑枕燕鷗,Black-Naped Tern,0212.avif,0212_UR.avif
213,普通燕鷗,Common Tern,0213.avif,0213_UR.avif
214,大鳳頭燕鷗,Great Crested Tern,0214.avif,0214_UR.avif
215,白尾鸏,White-Tailed Tropicbird,0215.avif,0215_UR.avif
216,紅喉潛鳥,Red-Throated Loon,0216.avif,0216_UR.avif
217,太平洋潛鳥,Pacific Loon,0217.avif,0217_UR.avif
218,黃嘴潛鳥,Yellow-Billed Loon,0218.avif,0218_UR.avif
219,褐燕鸌,Bulweria Bulwerii,0219.avif,0219_UR.avif
220,白額鸌,Streaked Shearwater,0220.avif,0220_UR.avif
